排名,代码,名称,指数,股息率(%),TTM每股股息(元),当前价(元)
1,600329,达仁堂,中证500,12.16,4.790,39.39
2,603508,思维列控,中证1000,12.08,2.625,21.73
3,002004,华邦健康,中证1000,10.51,0.450,4.28
4,000913,钱江摩托,中证1000,10.45,1.100,10.53
5,002572,索菲亚,中证1000,10.30,0.800,7.77
6,600066,宇通客车,沪深300,8.73,2.500,28.65
7,002271,东方雨虹,中证500,8.61,0.925,10.74
8,300770,新媒股份,中证1000,8.58,2.800,32.62
9,601216,君正集团,中证500,8.56,0.380,4.44
10,601717,中创智领,中证500,8.46,1.250,14.77
11,600153,建发股份,中证500,8.22,0.700,8.52
12,600866,星湖科技,中证1000,7.93,0.380,4.79
13,603833,欧派家居,中证500,7.84,2.477,31.61
14,301207,华兰疫苗,中证1000,7.83,1.400,17.88
15,601083,锦江航运,中证1000,7.76,0.812,10.46
16,000651,格力电器,沪深300,7.66,3.000,39.18
17,002007,华兰生物,中证500,7.63,1.000,13.10
18,000568,泸州老窖,沪深300,7.44,5.775,77.65
19,002867,周大生,中证1000,7.42,0.900,12.13
20,002027,分众传媒,沪深300,7.17,0.340,4.74
21,301047,义翘神州,中证1000,7.17,5.200,72.50
22,600398,海澜之家,中证500,7.12,0.410,5.76
23,600803,新奥股份,沪深300,7.12,1.140,16.02
24,000858,五粮液,沪深300,7.03,5.158,73.40
25,600273,嘉化能源,中证1000,6.97,0.450,6.46
26,601919,中远海控,沪深300,6.94,1.000,14.41
27,600566,济川药业,中证500,6.89,1.740,25.25
28,002170,芭田股份,中证1000,6.73,0.730,10.84
29,002508,老板电器,中证500,6.60,1.000,15.15
30,603565,中谷物流,中证500,6.59,0.670,10.17
31,600970,中材国际,中证500,6.56,0.480,7.32
32,603279,景津装备,中证1000,6.53,0.800,12.25
33,002233,塔牌集团,中证1000,6.52,0.480,7.36
34,002091,江苏国泰,中证1000,6.42,0.470,7.32
35,600582,天地科技,中证500,6.29,0.300,4.77
36,600741,华域汽车,沪深300,6.19,1.000,16.15
37,000895,双汇发展,沪深300,6.18,1.450,23.48
38,603816,顾家家居,中证500,6.16,1.380,22.40
39,002032,苏泊尔,中证500,6.12,2.630,42.95
40,002895,川恒股份,中证1000,6.12,1.800,29.43
41,601166,兴业银行,沪深300,6.11,1.066,17.45
42,600015,华夏银行,沪深300,6.06,0.420,6.93
43,600023,浙能电力,沪深300,6.03,0.330,5.47
44,600575,淮河能源,中证1000,6.01,0.190,3.16
45,000848,承德露露,中证1000,6.00,0.500,8.33
46,600502,安徽建工,中证1000,5.95,0.270,4.54
47,600809,山西汾酒,沪深300,5.94,6.560,110.50
48,600132,重庆啤酒,中证500,5.93,2.500,42.15
49,002372,伟星新材,中证1000,5.90,0.450,7.63
50,000899,赣能股份,中证1000,5.88,0.567,9.64
51,603529,爱玛科技,中证500,5.87,1.172,19.95
52,601801,皖新传媒,中证1000,5.87,0.300,5.11
53,600039,四川路桥,沪深300,5.83,0.492,8.44
54,601668,中国建筑,沪深300,5.80,0.272,4.69
55,600011,华能国际,沪深300,5.79,0.400,6.91
56,600295,鄂尔多斯,中证500,5.79,0.700,12.10
57,603444,吉比特,中证500,5.77,19.600,339.69
58,601229,上海银行,沪深300,5.75,0.520,9.04
59,000719,中原传媒,中证1000,5.75,0.660,11.48
60,603766,隆鑫通用,中证500,5.70,0.700,12.28
61,600690,海尔智家,沪深300,5.69,1.156,20.33
62,300641,正丹股份,中证1000,5.68,0.800,14.09
63,002003,伟星股份,中证1000,5.66,0.500,8.83
64,600177,雅戈尔,中证500,5.66,0.440,7.78
65,600098,广州发展,中证500,5.65,0.350,6.20
66,000157,中联重科,沪深300,5.61,0.400,7.13
67,601818,光大银行,沪深300,5.61,0.175,3.12
68,601997,贵阳银行,中证500,5.61,0.300,5.35
69,000001,平安银行,沪深300,5.58,0.596,10.69
70,601098,中南传媒,中证500,5.57,0.550,9.87
71,600750,华润江中,中证1000,5.57,1.380,24.77
72,600016,民生银行,沪深300,5.56,0.189,3.40
73,002416,爱施德,中证1000,5.56,0.500,9.00
74,601107,四川成渝,中证1000,5.55,0.297,5.35
75,601169,北京银行,沪深300,5.55,0.278,5.01
76,600642,申能股份,中证500,5.53,0.460,8.32
77,000423,东阿阿胶,中证500,5.51,2.706,49.07
78,601598,中国外运,中证500,5.50,0.300,5.45
79,002318,久立特材,中证500,5.50,1.000,18.18
80,600757,长江传媒,中证1000,5.49,0.410,7.47
81,000690,宝新能源,中证1000,5.48,0.250,4.56
82,000683,博源化工,中证500,5.47,0.300,5.48
83,601825,沪农商行,沪深300,5.47,0.435,7.95
84,600210,紫江企业,中证1000,5.47,0.350,6.40
85,000596,古井贡酒,沪深300,5.47,4.400,80.48
86,600887,伊利股份,沪深300,5.46,1.380,25.28
87,605599,菜百股份,中证1000,5.45,0.780,14.30
88,601318,中国平安,沪深300,5.44,2.700,49.60
89,600282,南钢股份,中证500,5.44,0.256,4.70
90,600036,招商银行,沪深300,5.42,2.016,37.18
91,601928,凤凰传媒,中证500,5.37,0.500,9.31
92,600019,宝钢股份,沪深300,5.36,0.300,5.60
93,300628,亿联网络,沪深300,5.31,1.800,33.87
94,000333,美的集团,沪深300,5.30,4.300,81.18
95,300360,炬华科技,中证1000,5.25,0.600,11.43
96,002563,森马服饰,中证1000,5.23,0.300,5.74
97,002839,张家港行,中证1000,5.21,0.220,4.22
98,301551,无线传媒,中证1000,5.20,1.000,19.22
99,601998,中信银行,沪深300,5.18,0.381,7.35
100,002557,洽洽食品,中证1000,5.18,1.000,19.30
101,601838,成都银行,沪深300,5.18,0.921,17.79
102,600873,梅花生物,中证500,5.13,0.428,8.35
103,600941,中国移动,沪深300,5.12,4.704,91.80
104,002911,佛燃能源,中证1000,5.08,0.520,10.24
105,600415,小商品城,沪深300,5.08,0.500,9.85
106,600795,国电电力,沪深300,5.06,0.241,4.76
107,600585,海螺水泥,沪深300,5.04,0.850,16.87
108,600461,洪城环境,中证1000,5.04,0.467,9.27
109,603866,桃李面包,中证1000,5.03,0.200,3.98
110,600782,新钢股份,中证1000,5.02,0.135,2.69
